,Total,From federal sources,From state sources,From local sources,Total,Current spending,Capital outlay,Other 2 ,Debt outstanding at end of fiscal year,Cash and securities
United States,751195882,57878962,350913041,342403879,752313761,652295832,76281609,23736320,494943150,270503906
,,,,,,,,,,
Alabama,8412132,867947,4703782,2840403,8360002,7588368,593970,177664,4863725,2577325
Alaska,2557462,391955,1599899,565608,2580629,2416342,125159,39128,1125194,(X)
Arizona,9639764,1239441,4084645,4315678,9788679,8227009,1334365,227305,5865161,3454294
Arkansas,5595050,605871,4191495,797684,5876488,4982616,732946,160926,4993977,2029768
California,96041050,8162989,54106131,33771930,94791550,81427445,10208709,3155396,83606618,49514513
Colorado,12234647,712669,5258398,6263580,12358292,9909523,1855954,592815,10537237,7944005
Connecticut,12005464,514707,4470080,7020677,11574025,10750556,716886,106583,2962044,129978
Delaware,2266478,146537,1463152,656789,2272763,2072728,181835,18200,612539,101342
District of Columbia,1526243,132899,(X),1393344,1583568,1179373,404195,0,0,(X)
Florida,31675060,3454539,12204018,16016503,31059854,27833826,2627573,598455,13870311,11667584
Georgia,22439128,1869095,10044691,10525342,21893778,19534733,2134719,224326,5204520,7862863
Hawaii,3124745,298818,2760298,65629,3214009,2942709,271300,0,0,(X)
Idaho,2688260,252716,1747198,688346,2564501,2314407,185700,64394,1582960,1134910
Illinois,37082331,2328041,15081903,19672387,36041585,32190678,2793110,1057797,22217617,19140875
Indiana,13132096,969031,8122602,4040463,13083825,10531993,2170731,381101,10227688,4553086
Iowa,7267433,501868,3836200,2929365,7193726,6164988,906363,122375,4267083,3879413
Kansas,6872412,578647,4412744,1881021,7194397,5940573,992638,261186,6544122,3357587
Kentucky,8703843,954442,4814076,2935325,8741706,7721471,811454,208781,6124625,2253489
Louisiana,8763547,1039755,3625907,4097885,8157580,7517368,525531,114681,3270921,3767961
Maine,3012539,184603,1172653,1655283,2973538,2711963,212812,48763,1290934,492227
Maryland,16068657,907252,6836746,8324659,15394512,13604993,1595110,194409,5261242,(X)
Massachusetts,18375555,812809,7435499,10127247,18671380,17363929,1070468,236983,5592669,531062
Michigan,20069650,1602579,11588161,6878910,19457507,17009988,1669897,777622,18335643,6153987
Minnesota,13442975,682398,8641915,4118662,14163679,11590165,2068770,504744,12501181,6532558
Mississippi,4868831,680426,2409586,1778819,4779494,4371969,351502,56023,2012771,2221015
Missouri,11772175,915022,4920201,5936952,11822082,10145552,1012073,664457,8046069,6402539
Montana,2034738,262482,865625,906631,2151497,1784102,318458,48937,1508222,1329777
Nebraska,4650340,331243,1501553,2817544,4786928,4156795,514093,116040,3288535,2232354
Nevada,5037245,448460,3128530,1460255,5108967,4216392,714819,177756,4080716,1827613
New Hampshire,3274238,164963,1006729,2102546,3239620,2986656,208907,44057,994234,299932
New Jersey,31772613,1299343,13546424,16926846,31208793,29488400,1404067,316326,6972734,4859227
New Mexico,3948685,511767,2646230,790688,3881596,3246840,558229,76527,2228293,1547825
New York,76121163,3676654,30237428,42207081,76365283,68692665,6135294,1537324,30500719,12717442
North Carolina,15202180,1582054,9383233,4236893,15873469,14267491,1368374,237604,8293800,(X)
North Dakota,1869592,195994,1022271,651327,1872190,1610519,218963,42708,962033,736050
Ohio,24599212,1695218,9678273,13225721,25935196,22674164,2334726,926306,13816363,14754134
Oklahoma,7016572,726889,3362476,2927207,7034144,6183671,794797,55676,2512726,2917492
Oregon,8869869,602521,4597482,3669866,9583023,7523957,1592172,466894,9463532,5605934
Pennsylvania,33265714,2151723,12608197,18505794,32755152,29531950,2178641,1044561,24495367,11520419
Rhode Island,2551169,182269,1040683,1328217,2590719,2438326,115704,36689,960306,7786
South Carolina,10451504,854409,4916545,4680550,10355376,8488383,1458433,408560,9385784,4020150
South Dakota,1691880,231187,576443,884250,1647187,1427586,184100,35501,1162364,1238071
Tennessee,10800722,1176191,4978985,4645546,11132940,10009997,881088,241855,6456303,111561
Texas,65950489,6858271,21341562,37750656,67205724,50678367,9939290,6588067,92369671,41239584
Utah,5837778,414931,2992614,2430233,5954812,4858621,954591,141600,3567732,2978404
Vermont,1906283,113807,1730999,61477,1901415,1833998,55358,12059,314548,126650
Virginia,17606867,1169845,7074761,9362261,18055966,16372939,1476088,206939,7541504,(X)
Washington,19369526,1066984,13397370,4905172,20282109,16073453,3572662,635994,15066488,8291172
West Virginia,3540869,402311,1958332,1180226,3484864,3256447,215526,12891,318895,832519
Wisconsin,12393896,820330,6823763,4749803,12597517,10916575,1351644,329298,7715780,4835196
Wyoming,1795211,132060,964553,698598,1716125,1532273,181815,2037,49650,772233
